year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
2009,0,CT,N,CANTONMENT RD,264,1G,0,50,Y,0,N,0,88,0,N,176,Y,0,0,0,0,0,N,48
2016,0,KWN,Y,BENDEMEER RD,0,10,0,7,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,49
2000,0,BM,Y,CANTONMENT CL,0,10,0,5,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,50
1999,0,BD,N,CHAI CHEE RD,84,10,0,15,Y,0,N,0,28,0,Y,56,N,0,0,0,0,0,N,51
1958,0,GL,N,DAKOTA CRES,53,10,0,7,Y,0,N,0,0,0,N,0,Y,0,0,0,0,53,N,52
1977,0,GL,N,EUNOS CRES,180,10,0,16,Y,0,N,0,0,0,N,180,Y,0,0,0,0,0,N,53
1976,0,KWN,N,GLOUCESTER RD,207,10,0,14,Y,0,N,0,1,180,N,26,Y,0,0,0,0,0,N,54
1976,0,GL,N,HAIG RD,133,10,0,13,Y,0,N,0,0,133,Y,0,N,0,0,0,0,0,N,55
1973,0,QT,N,HOLLAND AVE,101,10,0,14,Y,0,N,0,0,0,N,101,N,0,0,0,0,0,N,56
1962,0,BM,N,JLN BT HO SWEE,120,10,0,10,Y,0,N,0,0,0,N,0,N,0,70,50,0,0,N,57
1986,0,BM,N,JLN RUMAH TINGGI,28,10,0,4,Y,0,N,0,0,20,N,8,N,0,0,0,0,0,N,58
1966,0,KWN,N,JLN BATU,132,10,27,12,Y,0,N,0,97,0,N,8,Y,0,0,0,0,0,N,59
1970,0,CT,N,JLN KUKOH,92,10,0,12,Y,0,N,0,0,16,Y,4,Y,0,0,72,0,0,N,60
1982,0,TP,N,JOO SENG RD,76,10,0,20,Y,0,N,0,76,0,N,0,N,0,0,0,0,0,N,61
1997,0,TP,N,LOR 7 TOA PAYOH,96,10,0,25,Y,0,N,0,28,0,N,68,N,0,0,0,0,0,N,62
1975,0,WL,N,MARSILING DR,84,10,0,22,Y,0,N,0,84,0,Y,0,N,0,0,0,0,0,N,63
1973,0,KWN,N,NTH BRIDGE RD,224,10,0,16,Y,0,N,0,0,0,Y,0,N,0,0,0,224,0,N,64
1981,0,GL,N,PINE CL,120,10,0,13,Y,0,N,0,0,72,N,48,N,0,0,0,0,0,N,65
1963,0,CT,N,SELEGIE RD,48,10,0,10,Y,0,N,0,0,48,Y,0,N,0,0,0,0,0,N,66
1984,0,KWN,N,ST. GEORGE'S RD,12,10,0,4,Y,0,N,0,0,0,N,12,N,0,0,0,0,0,N,67
1977,0,CCK,N,TECK WHYE AVE,153,10,1,12,Y,0,N,0,0,130,N,22,Y,0,0,0,0,0,N,68
1974,0,BM,N,TELOK BLANGAH CRES,66,10,0,10,Y,0,N,0,1,65,Y,0,N,0,0,0,0,0,N,69
1988,0,BT,N,TOH YI DR,36,10,36,7,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,70
2000,0,WL,N,WOODLANDS AVE 8,0,10,0,4,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,71
1992,0,BD,Y,BEDOK STH AVE 2,0,10A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,72
2016,0,KWN,N,BENDEMEER RD,220,10A,0,40,Y,0,N,0,0,71,N,149,N,0,0,0,0,0,N,73
2014,0,BM,N,BOON TIONG RD,228,10A,0,40,Y,0,N,0,0,76,N,152,Y,0,0,0,0,0,N,74
1999,0,BD,N,CHAI CHEE RD,0,10A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,75
1997,0,QT,Y,HOLLAND DR,0,10A,0,6,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,76
1999,0,CT,N,JLN KUKOH,0,10A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,77
1997,0,TP,Y,LOR 7 TOA PAYOH,0,10A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,78
2016,0,KWN,N,BENDEMEER RD,184,10B,0,40,Y,0,N,0,0,70,N,114,N,0,0,0,0,0,N,79
1994,0,BD,N,BEDOK STH AVE 2,56,10B,56,20,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,80
2014,0,BM,N,BOON TIONG RD,160,10B,0,30,Y,0,N,0,0,28,N,84,Y,36,0,12,0,0,N,81
1997,0,TP,N,LOR 7 TOA PAYOH,96,10B,0,25,Y,0,N,0,28,0,N,68,N,0,0,0,0,0,N,82
2016,0,KWN,N,BENDEMEER RD,220,10C,0,40,Y,0,N,0,0,71,N,149,N,0,0,0,0,0,N,83
1994,0,BD,N,BEDOK STH AVE 2,2,10C,2,2,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,84
1997,0,TP,N,LOR 7 TOA PAYOH,0,10C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,85
1994,0,BD,N,BEDOK STH AVE 2,84,10D,84,23,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,86
1992,0,BD,N,BEDOK STH AVE 2,81,10E,81,21,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,87
1992,0,BD,N,BEDOK STH AVE 2,67,10F,67,24,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,88
1977,0,GL,N,ALJUNIED CRES,198,100,0,12,Y,0,N,0,0,0,N,0,Y,0,0,0,198,0,N,89
1978,0,BD,N,BEDOK NTH AVE 4,206,100,1,14,Y,0,N,0,1,178,N,26,N,0,0,0,0,0,N,90
1964,0,QT,N,C'WEALTH CRES,75,100,0,10,Y,0,N,0,0,61,N,5,N,0,0,9,0,0,N,91
1968,0,TP,N,LOR 1 TOA PAYOH,192,100,0,16,Y,0,N,0,0,192,N,0,N,0,0,0,0,0,N,92
1973,0,KWN,N,WHAMPOA DR,96,100,0,25,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,93
1981,0,KWN,N,AH HOOD RD,96,101,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,94
1977,0,GL,N,ALJUNIED CRES,152,101,1,12,Y,0,N,0,1,126,Y,22,N,0,0,0,0,2,N,95
1977,0,AMK,N,ANG MO KIO AVE 3,88,101,0,12,Y,0,N,0,76,0,N,12,N,0,0,0,0,0,N,96
1985,0,BD,N,BEDOK RESERVOIR RD,110,101,0,12,Y,0,N,0,94,0,N,16,N,0,0,0,0,0,N,97
1977,0,BD,N,BEDOK NTH AVE 4,168,101,0,13,Y,0,N,0,0,0,N,0,Y,0,133,35,0,0,N,98
2019,0,TP,Y,BIDADARI PK DR,0,101,0,2,N,0,Y,0,0,0,N,0,Y,0,0,0,0,0,N,99
1986,0,BH,N,BISHAN ST 12,92,101,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,100
1982,0,BM,N,BT PURMEI RD,140,101,0,11,Y,0,N,0,0,89,N,50,N,0,0,0,0,1,N,101
1984,0,BB,N,BT BATOK WEST AVE 6,96,101,0,13,Y,0,N,0,48,2,N,46,N,0,0,0,0,0,N,102
1964,0,QT,N,C'WEALTH CRES,76,101,0,10,Y,0,N,0,0,62,N,4,N,0,0,10,0,0,N,103
2019,0,SB,N,CANBERRA ST,0,101,0,1,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,104
1984,0,CL,N,CLEMENTI ST 14,112,101,0,15,Y,0,N,0,94,0,N,18,N,0,0,0,0,0,N,105
1986,0,BP,N,GANGSA RD,60,101,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,106
1967,0,BM,N,HENDERSON CRES,96,101,0,12,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,107
1983,0,HG,N,HOUGANG AVE 1,108,101,0,9,Y,0,N,0,0,0,N,108,Y,0,0,0,0,0,N,108
1980,0,KWN,N,JLN RAJAH,128,101,0,17,Y,0,N,0,0,0,N,128,Y,0,0,0,0,0,N,109
1982,0,JE,N,JURONG EAST ST 13,238,101,0,16,Y,0,N,0,2,196,N,40,Y,0,0,0,0,0,N,110
1988,0,BD,N,LENGKONG TIGA,10,101,10,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,111
1988,0,PRC,N,PASIR RIS ST 12,96,101,96,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,112
1984,0,TP,N,POTONG PASIR AVE 1,120,101,0,16,Y,0,N,0,0,120,N,0,N,0,0,0,0,0,N,113
2001,0,PG,Y,PUNGGOL FIELD,0,101,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,114
1998,0,SK,N,RIVERVALE WALK,131,101,0,17,Y,0,N,0,75,0,N,56,Y,0,0,0,0,0,N,115
1984,0,SGN,N,SERANGOON NTH AVE 1,144,101,0,13,Y,0,N,0,0,0,N,144,N,0,0,0,0,0,N,116
1988,0,TAP,N,SIMEI ST 1,140,101,0,11,Y,0,N,0,52,0,N,88,Y,0,0,0,0,0,N,117
1973,0,BM,N,SPOTTISWOODE PK RD,76,101,0,20,Y,0,N,0,0,0,N,76,N,0,0,0,0,0,N,118
1981,0,TAP,N,TAMPINES ST 11,120,101,0,11,Y,0,N,0,0,80,N,40,Y,0,0,0,0,0,N,119
1988,0,CCK,N,TECK WHYE LANE,66,101,66,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,120
1982,0,KWN,N,TOWNER RD,44,101,0,4,Y,0,N,0,0,44,Y,0,N,0,0,0,0,0,N,121
1973,0,KWN,N,WHAMPOA DR,96,101,0,25,Y,0,N,0,0,0,Y,96,N,0,0,0,0,0,N,122
1984,0,WL,N,WOODLANDS ST 13,146,101,0,10,Y,0,N,0,2,89,N,55,Y,0,0,0,0,0,N,123
1977,0,YS,N,YISHUN AVE 5,107,101,0,4,Y,0,N,0,1,94,Y,12,N,0,0,0,0,0,N,124
2020,0,TP,N,BIDADARI PK DR,295,101A,0,16,Y,0,N,0,0,91,N,118,N,0,0,86,0,0,N,125
2019,0,SB,N,CANBERRA ST,164,101A,0,15,Y,0,N,0,80,0,N,84,N,0,0,0,0,0,N,126
1992,0,TP,N,LOR 2 TOA PAYOH,64,101A,64,17,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,127
2001,0,PG,N,PUNGGOL FIELD,82,101A,0,16,Y,0,N,0,56,0,N,26,N,0,0,0,0,0,N,128
1984,0,YS,N,YISHUN AVE 5,0,101A,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,129
2019,0,SB,N,CANBERRA ST,240,101B,0,16,Y,0,N,0,0,30,N,60,N,0,0,150,0,0,N,130
1992,0,TP,N,LOR 2 TOA PAYOH,48,101B,48,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,131
2001,0,PG,N,PUNGGOL FIELD,92,101B,0,17,Y,0,N,0,92,0,N,0,Y,0,0,0,0,0,N,132
1984,0,YS,N,YISHUN AVE 5,0,101B,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,133
1992,0,TP,Y,LOR 2 TOA PAYOH,0,101C,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,134
2001,0,PG,N,PUNGGOL FIELD,86,101C,0,17,Y,0,N,0,86,0,Y,0,Y,0,0,0,0,0,N,135
1984,0,YS,N,YISHUN AVE 5,0,101C,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,136
2001,0,PG,N,PUNGGOL FIELD,85,101D,0,17,Y,0,N,0,57,0,N,28,N,0,0,0,0,0,N,137
1977,0,GL,N,ALJUNIED CRES,150,102,1,12,Y,0,N,0,3,124,N,22,Y,0,0,0,0,0,N,138
1977,0,AMK,N,ANG MO KIO AVE 3,88,102,0,12,Y,0,N,0,22,0,N,66,Y,0,0,0,0,0,N,139
1985,0,BD,N,BEDOK RESERVOIR RD,24,102,0,4,Y,0,N,0,0,16,N,8,N,0,0,0,0,0,N,140
1976,0,BD,N,BEDOK NTH AVE 4,149,102,5,14,Y,0,N,0,2,116,N,26,N,0,0,0,0,0,N,141
1986,0,BH,N,BISHAN ST 12,92,102,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,142
1984,0,BB,N,BT BATOK WEST AVE 6,96,102,0,13,Y,0,N,0,48,2,N,46,N,0,0,0,0,0,N,143
1983,0,BM,N,BT PURMEI RD,147,102,0,10,Y,0,N,0,0,93,N,54,Y,0,0,0,0,0,N,144
1964,0,QT,N,C'WEALTH CRES,95,102,0,10,Y,0,N,0,0,80,N,5,N,0,0,10,0,0,N,145
2019,0,SB,Y,CANBERRA ST,0,102,0,6,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,146
1984,0,CL,N,CLEMENTI ST 14,8,102,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,147
2017,0,BM,N,DEPOT RD,0,102,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,148
1986,0,BP,N,GANGSA RD,90,102,0,10,Y,0,N,0,0,54,N,36,N,0,0,0,0,0,N,149
1967,0,BM,N,HENDERSON CRES,140,102,0,14,Y,0,N,0,0,0,N,140,N,0,0,0,0,0,N,150
1983,0,HG,N,HOUGANG AVE 1,90,102,0,13,Y,0,N,0,0,19,Y,71,N,0,0,0,0,0,N,151
1981,0,KWN,N,JLN DUSUN,96,102,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,152
1980,0,KWN,N,JLN RAJAH,198,102,0,12,Y,0,N,0,0,0,Y,198,N,0,0,0,0,0,N,153
1981,0,JE,N,JURONG EAST ST 13,196,102,0,12,Y,0,N,0,2,172,N,22,N,0,0,0,0,0,N,154
1988,0,BD,N,LENGKONG TIGA,73,102,0,14,Y,0,N,0,51,0,N,22,N,0,0,0,0,0,N,155
1988,0,PRC,N,PASIR RIS ST 12,96,102,0,13,Y,0,N,0,42,0,N,54,N,0,0,0,0,0,N,156
1983,0,TP,N,POTONG PASIR AVE 1,167,102,3,16,Y,0,N,0,0,144,Y,20,Y,0,0,0,0,0,N,157
2001,0,PG,N,PUNGGOL FIELD,0,102,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,158
1998,0,SK,N,RIVERVALE WALK,129,102,129,17,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,159
1984,0,SGN,N,SERANGOON NTH AVE 1,24,102,0,4,Y,0,N,0,0,16,N,8,N,0,0,0,0,0,N,160
1988,0,TAP,N,SIMEI ST 1,100,102,0,11,Y,0,N,0,36,0,N,64,Y,0,0,0,0,0,N,161
1973,0,BM,N,SPOTTISWOODE PK RD,76,102,0,20,Y,0,N,0,0,0,Y,76,N,0,0,0,0,0,N,162
1982,0,TAP,N,TAMPINES ST 11,140,102,0,11,Y,0,N,0,0,90,N,50,N,0,0,0,0,0,N,163
1988,0,CCK,N,TECK WHYE LANE,64,102,0,9,Y,0,N,0,28,0,N,36,N,0,0,0,0,0,N,164
1983,0,KWN,N,TOWNER RD,36,102,0,4,Y,0,N,0,0,36,Y,0,N,0,0,0,0,0,N,165
1984,0,WL,N,WOODLANDS ST 13,110,102,0,12,Y,0,N,0,0,65,N,45,Y,0,0,0,0,0,N,166
1984,0,YS,N,YISHUN AVE 5,0,102,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,167
2020,0,TP,N,BIDADARI PK DR,205,102A,0,16,Y,0,Y,0,0,0,N,139,N,0,0,66,0,0,N,168
2019,0,SB,N,CANBERRA ST,190,102A,0,17,Y,0,N,0,96,0,N,94,N,0,0,0,0,0,N,169
2016,0,BM,N,DEPOT RD,114,102A,0,21,Y,0,N,0,0,0,N,0,Y,75,0,39,0,0,N,170
2001,0,PG,N,PUNGGOL FIELD,85,102A,0,17,Y,0,N,0,57,0,N,28,N,0,0,0,0,0,N,171
1997,0,SK,Y,RIVERVALE WALK,0,102A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,172
2020,0,TP,N,BIDADARI PK DR,200,102B,0,16,Y,0,N,0,0,52,N,148,N,0,0,0,0,0,N,173
2019,0,SB,N,CANBERRA ST,210,102B,0,16,Y,0,N,0,0,30,N,0,N,0,0,180,0,0,N,174
2001,0,PG,N,PUNGGOL FIELD,86,102B,0,17,Y,0,N,0,86,0,N,0,N,0,0,0,0,0,N,175
2020,0,SB,N,CANBERRA ST,0,102C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,176
2000,0,PG,N,PUNGGOL FIELD,92,102C,0,17,Y,0,N,0,92,0,N,0,N,0,0,0,0,0,N,177
2001,0,PG,N,PUNGGOL FIELD,82,102D,0,16,Y,0,N,0,56,0,N,26,N,0,0,0,0,0,N,178
1981,0,KWN,N,AH HOOD RD,96,103,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,179
1977,0,GL,N,ALJUNIED CRES,154,103,0,12,Y,0,N,0,0,0,N,0,N,0,154,0,0,0,N,180
1977,0,AMK,N,ANG MO KIO AVE 3,131,103,0,12,Y,0,N,0,1,97,N,33,Y,0,0,0,0,0,N,181
1976,0,BD,N,BEDOK NTH AVE 4,154,103,2,14,Y,0,N,0,0,126,N,26,Y,0,0,0,0,0,N,182
1985,0,BD,N,BEDOK RESERVOIR RD,154,103,0,12,Y,0,N,0,0,88,Y,66,N,0,0,0,0,0,N,183
1986,0,BH,N,BISHAN ST 12,92,103,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,184
1984,0,BB,N,BT BATOK CTRL,96,103,0,13,Y,0,N,0,48,4,N,44,Y,0,0,0,0,0,N,185
1982,0,BM,N,BT PURMEI RD,119,103,0,11,Y,0,N,0,1,68,Y,50,N,0,0,0,0,0,N,186
1964,0,QT,N,C'WEALTH CRES,99,103,0,10,Y,0,N,0,0,0,N,0,N,0,99,0,0,0,N,187
2020,0,SB,N,CANBERRA ST,0,103,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,188
1984,0,CL,N,CLEMENTI ST 14,104,103,0,14,Y,0,N,0,86,0,N,18,N,0,0,0,0,0,N,189
2001,0,PG,N,EDGEFIELD PLAINS,0,103,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,190
1986,0,BP,N,GANGSA RD,26,103,0,4,Y,0,N,0,0,19,Y,7,N,0,0,0,0,0,N,191
1967,0,BM,N,HENDERSON CRES,140,103,0,14,Y,0,N,0,0,0,N,140,N,0,0,0,0,0,N,192
1983,0,HG,N,HOUGANG AVE 1,81,103,0,13,Y,0,N,0,51,0,N,30,N,0,0,0,0,0,N,193
1983,0,KWN,N,JLN RAJAH,144,103,0,25,Y,0,N,0,96,0,N,48,N,0,0,0,0,0,N,194
1982,0,JE,N,JURONG EAST ST 13,96,103,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,195
1988,0,BD,N,LENGKONG TIGA,73,103,0,14,Y,0,N,0,51,0,N,22,N,0,0,0,0,0,N,196
1967,0,TP,N,LOR 1 TOA PAYOH,159,103,0,10,Y,0,N,0,0,0,N,0,Y,0,159,0,0,0,N,197
1988,0,PRC,N,PASIR RIS ST 12,96,103,0,13,Y,0,N,0,42,0,N,54,N,0,0,0,0,0,N,198
1983,0,TP,N,POTONG PASIR AVE 1,63,103,1,4,Y,0,N,0,0,62,N,0,N,0,0,0,0,0,N,199
1998,0,SK,N,RIVERVALE WALK,123,103,123,17,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,200
1984,0,SGN,N,SERANGOON NTH AVE 1,144,103,0,13,Y,0,N,0,0,0,N,144,Y,0,0,0,0,0,N,201
1976,0,BM,N,SPOTTISWOODE PK RD,94,103,2,25,Y,0,N,0,92,0,N,0,N,0,0,0,0,0,N,202
1982,0,TAP,N,TAMPINES ST 11,126,103,0,10,Y,0,N,0,0,72,N,54,N,0,0,0,0,0,N,203
1988,0,CCK,N,TECK WHYE LANE,80,103,0,9,Y,0,N,0,28,0,Y,52,N,0,0,0,0,0,N,204
1982,0,KWN,N,TOWNER RD,80,103,0,11,Y,0,N,0,40,0,N,40,Y,0,0,0,0,0,N,205
1984,0,WL,N,WOODLANDS ST 13,32,103,0,4,Y,0,N,0,0,24,N,8,N,0,0,0,0,0,N,206
1984,0,YS,N,YISHUN RING RD,64,103,0,4,Y,0,N,0,0,60,Y,4,N,0,0,0,0,0,N,207
2020,0,TP,N,BIDADARI PK DR,116,103A,0,17,Y,0,N,0,0,56,N,60,N,0,0,0,0,0,N,208
2019,0,SB,N,CANBERRA ST,224,103A,0,15,Y,0,N,0,0,28,N,56,N,0,0,140,0,0,N,209
1999,0,BM,N,DEPOT RD,96,103A,0,25,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,210
2000,0,PG,N,EDGEFIELD PLAINS,96,103A,0,17,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,211
1998,0,SK,Y,RIVERVALE WALK,0,103A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,212
2020,0,TP,N,BIDADARI PK DR,152,103B,0,16,Y,0,N,0,0,76,N,76,N,0,0,0,0,0,N,213
2019,0,SB,N,CANBERRA ST,224,103B,0,15,Y,0,N,0,0,28,N,56,N,0,0,140,0,0,N,214
1999,0,BM,N,DEPOT RD,76,103B,0,20,Y,0,N,0,38,0,N,38,N,0,0,0,0,0,N,215
2000,0,PG,N,EDGEFIELD PLAINS,90,103B,0,16,Y,0,N,0,90,0,N,0,N,0,0,0,0,0,N,216
2001,0,PG,N,EDGEFIELD PLAINS,90,103C,0,16,Y,0,N,0,90,0,N,0,N,0,0,0,0,0,N,217
