town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block
ANG MO KIO,4 ROOM,DBSS,91,ANG MO KIO ST 52,730000,2017-01,93 years 07 months,2011,19 TO 21,48,588D
ANG MO KIO,4 ROOM,DBSS,91,ANG MO KIO ST 52,756000,2017-01,93 years 07 months,2011,22 TO 24,49,588D
ANG MO KIO,5 ROOM,Standard,117,ANG MO KIO AVE 3,500000,2017-01,60 years 01 month,1978,01 TO 03,50,101
ANG MO KIO,5 ROOM,Improved,119,ANG MO KIO AVE 3,668000,2017-01,61 years,1979,13 TO 15,51,430
ANG MO KIO,5 ROOM,Improved,118,ANG MO KIO AVE 5,668000,2017-01,62 years 08 months,1980,19 TO 21,52,520
ANG MO KIO,5 ROOM,Improved,119,ANG MO KIO AVE 6,725000,2017-01,62 years 05 months,1980,13 TO 15,53,716
ANG MO KIO,5 ROOM,DBSS,112,ANG MO KIO ST 52,770000,2017-01,93 years 07 months,2011,10 TO 12,54,588A
ANG MO KIO,5 ROOM,Improved,121,ANG MO KIO AVE 1,832000,2017-01,94 years 08 months,2012,10 TO 12,55,310A
ANG MO KIO,EXECUTIVE,Apartment,147,ANG MO KIO AVE 4,888000,2017-01,78 years 04 months,1996,07 TO 09,56,613
BEDOK,2 ROOM,Improved,45,BEDOK NTH AVE 4,238000,2017-01,60 years 06 months,1978,04 TO 06,57,101
BEDOK,3 ROOM,New Generation,68,BEDOK NTH AVE 1,272000,2017-01,62 years 06 months,1980,04 TO 06,58,548
BEDOK,3 ROOM,Improved,59,BEDOK NTH RD,278000,2017-01,60 years,1978,07 TO 09,59,75
BEDOK,3 ROOM,New Generation,68,BEDOK NTH AVE 1,280000,2017-01,62 years 05 months,1980,01 TO 03,60,550
BEDOK,3 ROOM,Improved,59,BEDOK STH AVE 1,280000,2017-01,58 years,1976,01 TO 03,61,1
BEDOK,3 ROOM,Simplified,63,BEDOK RESERVOIR RD,281000,2017-01,70 years 08 months,1988,04 TO 06,62,151
BEDOK,3 ROOM,New Generation,68,CHAI CHEE ST,285000,2017-01,63 years 04 months,1981,04 TO 06,63,54
BEDOK,3 ROOM,New Generation,68,CHAI CHEE ST,285000,2017-01,63 years 06 months,1981,04 TO 06,64,50
BEDOK,3 ROOM,New Generation,70,BEDOK RESERVOIR RD,287000,2017-01,67 years 07 months,1985,10 TO 12,65,105
BEDOK,3 ROOM,New Generation,68,BEDOK NTH ST 3,290000,2017-01,61 years 07 months,1979,13 TO 15,66,528
BEDOK,3 ROOM,Improved,60,BEDOK NTH ST 3,290000,2017-01,68 years 02 months,1986,10 TO 12,67,534
BEDOK,3 ROOM,New Generation,68,BEDOK NTH AVE 1,293000,2017-01,62 years 06 months,1980,04 TO 06,68,550
BEDOK,3 ROOM,Improved,60,BEDOK NTH RD,300000,2017-01,68 years 03 months,1986,10 TO 12,69,77
BEDOK,3 ROOM,New Generation,67,BEDOK RESERVOIR RD,300000,2017-01,68 years 02 months,1986,10 TO 12,70,116
BEDOK,3 ROOM,Improved,65,BEDOK STH RD,300000,2017-01,58 years,1976,13 TO 15,71,18
BEDOK,3 ROOM,Improved,65,CHAI CHEE AVE,300000,2017-01,56 years,1974,07 TO 09,72,40
BEDOK,3 ROOM,Improved,60,NEW UPP CHANGI RD,300000,2017-01,67 years 09 months,1985,13 TO 15,73,57
BEDOK,3 ROOM,Improved,60,NEW UPP CHANGI RD,301888,2017-01,67 years 09 months,1985,07 TO 09,74,57
BEDOK,3 ROOM,New Generation,67,BEDOK NTH AVE 4,305000,2017-01,59 years 08 months,1977,04 TO 06,75,105
