street,x,project,y,rentalMedian.refPeriod,rentalMedian.psf75,rentalMedian.median,rentalMedian.psf25,rentalMedian.district
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2020Q3,2.01,1.93,1.84,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2019Q3,2.1,1.93,1.78,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2020Q1,1.94,1.91,1.82,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2019Q4,2.13,1.95,1.86,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2021Q4,2.4,2.17,1.98,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2021Q2,2.28,2.06,1.86,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2022Q1,2.43,2.07,1.94,23
ELLIOT ROAD,38863.89629,ELLIOT AT THE EAST COAST,32538.81136,2020Q1,3.0,2.73,2.52,15
ELLIOT ROAD,38863.89629,ELLIOT AT THE EAST COAST,32538.81136,2021Q3,3.09,2.78,2.62,15
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2019Q4,3.91,3.39,3.07,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q2,3.95,3.14,2.99,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q3,3.8,3.23,3.02,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2019Q3,4.0,3.57,3.04,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q1,3.95,3.08,2.88,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q2,3.68,3.29,3.13,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q3,4.24,3.65,3.23,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q4,4.05,3.65,3.28,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2022Q2,4.87,4.42,3.86,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q1,4.21,3.57,3.12,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q4,3.7,3.29,3.04,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2022Q1,4.99,4.3,3.54,20
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2020Q4,5.08,4.71,4.58,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q4,5.84,5.54,5.32,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2022Q2,6.32,5.94,5.72,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q2,5.6,5.35,5.0,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2022Q1,5.75,5.55,5.07,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q1,5.09,4.82,4.58,03
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q3,4.26,3.89,3.6,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2019Q3,4.79,4.62,3.84,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q1,4.26,4.06,3.83,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2019Q4,4.32,4.06,3.95,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q2,4.4,4.18,4.06,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q4,4.18,3.88,3.63,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q4,4.34,4.18,4.02,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2022Q2,4.51,4.14,3.94,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q2,4.06,3.83,3.61,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q3,4.06,3.84,3.62,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2022Q1,4.26,4.05,3.91,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q1,3.96,3.8,3.54,09
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2019Q3,2.01,1.96,1.91,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q1,1.91,1.84,1.78,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2019Q4,1.94,1.91,1.86,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q3,1.97,1.87,1.79,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q2,2.09,1.94,1.8,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q4,1.9,1.88,1.77,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q4,2.31,2.2,2.09,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q2,2.06,1.97,1.89,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q3,2.05,2.01,1.88,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2022Q1,2.51,2.17,2.05,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q1,2.0,1.94,1.86,17
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2019Q4,2.2,2.12,2.03,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q2,2.26,2.11,2.01,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2019Q3,2.18,2.06,1.93,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q1,2.28,2.13,1.96,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q3,2.2,2.12,1.99,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q4,2.23,2.13,1.99,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q2,2.32,2.2,2.07,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q3,2.46,2.23,2.04,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q4,2.45,2.25,2.14,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2022Q2,2.84,2.61,2.36,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2022Q1,2.61,2.38,2.24,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q1,2.24,2.11,1.96,21
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2019Q3,4.54,4.27,3.88,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q1,4.49,4.34,4.17,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q3,4.4,4.15,3.81,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q2,4.69,4.37,4.15,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q4,4.3,4.18,3.86,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q4,4.36,4.29,3.9,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2022Q2,4.72,4.42,4.34,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q2,4.43,4.32,4.13,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q3,4.62,4.33,4.23,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2022Q1,4.5,4.43,4.31,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q1,4.31,4.08,3.75,10
AVA ROAD,30059.9759,AVA TOWERS,33837.47233,2020Q1,2.38,2.31,2.21,12
AVA ROAD,30059.9759,AVA TOWERS,33837.47233,2022Q2,2.68,2.57,2.28,12
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2019Q4,3.55,3.46,3.4,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q2,3.55,3.46,3.2,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q3,3.61,3.46,3.32,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2019Q3,3.64,3.46,3.35,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q1,3.61,3.46,3.09,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q2,3.79,3.61,3.48,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q3,3.81,3.61,3.43,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q4,3.97,3.78,3.5,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2022Q2,4.31,4.1,3.66,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q1,3.65,3.52,3.38,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q4,3.7,3.55,3.35,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2022Q1,4.4,3.79,3.48,04
MEYER ROAD,35104.98234,AALTO,31226.58816,2020Q3,3.51,3.43,3.22,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2019Q3,3.62,3.57,3.33,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2020Q1,3.55,3.43,3.23,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2019Q4,3.6,3.5,3.36,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q4,4.06,3.8,3.55,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q2,3.76,3.5,3.43,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q3,3.7,3.62,3.4,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q1,3.65,3.47,3.34,15
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2020Q2,4.28,4.05,3.91,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2020Q3,4.29,4.1,3.9,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2019Q3,4.52,4.31,4.04,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2020Q1,4.44,4.27,3.96,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2019Q4,4.54,4.36,4.17,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2020Q4,4.4,4.19,4.0,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2021Q4,4.68,4.44,4.29,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2022Q2,5.5,5.07,4.79,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2021Q2,4.5,4.29,4.03,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2021Q3,4.54,4.38,4.15,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2021Q1,4.45,4.03,3.78,01
CENTRAL BOULEVARD,30086.50268,MARINA BAY SUITES,29208.56954,2022Q1,4.81,4.65,4.41,01
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2019Q4,5.79,5.57,5.48,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2020Q2,5.81,5.53,4.97,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2020Q3,5.81,5.67,4.99,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2019Q3,5.79,5.67,5.39,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2020Q1,5.89,5.3,4.99,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2020Q4,5.67,5.3,4.89,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2021Q2,5.67,5.57,5.19,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2021Q3,5.95,5.75,4.99,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2021Q4,6.0,5.67,5.44,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2022Q2,6.06,5.68,5.21,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2021Q1,5.67,5.44,4.99,02
SPOTTISWOODE PARK ROAD,28471.2905,SPOTTISWOODE SUITES,28732.54477,2022Q1,5.9,5.6,5.15,02
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2020Q2,3.22,2.95,2.74,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2020Q3,2.97,2.88,2.71,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2019Q3,3.26,3.06,2.91,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2019Q4,3.16,2.98,2.92,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2021Q3,3.36,3.12,2.97,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2021Q1,3.16,2.8,2.44,09
KIM YAM ROAD,28610.49928,OLEANAS RESIDENCE,30654.98089,2022Q1,3.51,3.3,2.97,09
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2019Q4,2.67,2.51,2.43,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2019Q3,3.26,2.99,2.77,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2020Q3,2.82,2.76,2.44,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2020Q1,2.74,2.64,2.44,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2021Q2,2.93,2.77,2.62,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2021Q3,3.08,2.94,2.61,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2021Q4,3.0,2.87,2.73,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2021Q1,2.67,2.48,2.38,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2020Q4,2.84,2.67,2.4,23
BUKIT BATOK CENTRAL LINK,18599.9636,THE JADE,36799.17676,2022Q1,3.13,2.97,2.78,23
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2019Q3,3.98,3.82,3.74,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2020Q1,4.15,3.85,3.69,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2019Q4,4.13,3.85,3.42,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2020Q3,3.74,3.57,3.42,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2020Q2,3.93,3.72,3.5,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2020Q4,3.77,3.59,3.43,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2021Q4,3.88,3.74,3.52,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2022Q2,4.51,4.36,3.91,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2021Q2,3.95,3.81,3.67,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2021Q3,3.8,3.68,3.54,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2022Q1,4.25,4.11,3.82,07
BENCOOLEN STREET,30151.75611,BURLINGTON SQUARE,31612.56419,2021Q1,3.85,3.69,3.41,07
LORONG 28 GEYLANG,33826.61292,EDENZ SUITES,32790.51361,2020Q2,3.77,3.56,3.5,14
TELOK KURAU ROAD,36623.42504,THE COTZ,32842.6949,2021Q2,4.33,4.02,3.95,15
TELOK KURAU ROAD,36623.42504,THE COTZ,32842.6949,2021Q1,4.07,3.95,3.76,15
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2019Q4,3.67,3.42,3.27,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2020Q2,3.76,3.37,3.23,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2019Q3,3.48,3.29,3.18,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2020Q3,3.36,3.12,2.99,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2020Q1,3.55,3.32,3.14,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2021Q2,3.62,3.43,3.08,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2021Q3,3.65,3.41,3.18,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2021Q4,3.98,3.73,3.36,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2022Q2,4.21,3.87,3.63,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2021Q1,3.67,3.51,3.36,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2020Q4,3.67,3.43,3.16,05
WEST COAST CRESCENT,20326.63361,THE VISION,31169.01672,2022Q1,4.08,3.77,3.33,05
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2019Q3,2.61,2.38,2.02,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2020Q1,2.48,2.23,2.02,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2019Q4,2.42,2.23,2.06,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2020Q3,2.38,2.1,1.9,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2020Q2,2.35,2.06,1.94,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2020Q4,2.57,2.26,1.99,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2021Q4,2.72,2.48,2.24,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2022Q2,2.95,2.76,2.33,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2021Q2,2.69,2.48,2.07,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2021Q3,2.57,2.3,2.06,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2022Q1,2.6,2.48,2.26,26
LENTOR LOOP,28241.68025,BULLION PARK,41583.60898,2021Q1,2.6,2.26,1.98,26
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2019Q3,3.6,3.46,3.25,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2020Q1,4.14,3.54,3.41,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2019Q4,4.24,3.56,3.44,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2020Q3,3.37,3.26,3.1,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2020Q2,3.5,3.43,3.21,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2020Q4,3.89,3.54,3.25,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2021Q4,4.47,3.73,3.48,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2022Q2,4.65,4.03,3.9,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2021Q2,4.38,3.92,3.5,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2021Q3,3.66,3.56,3.28,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2022Q1,4.19,3.87,3.6,11
THOMSON ROAD,28907.88866,CUBE 8,34502.03697,2021Q1,4.24,3.65,3.43,11
LORONG 30 GEYLANG,33914.58251,FENG LAI MANSION,32657.29525,2020Q2,2.67,2.56,2.42,14
LORONG 30 GEYLANG,33914.58251,FENG LAI MANSION,32657.29525,2022Q2,3.52,3.52,3.29,14
LORONG 30 GEYLANG,33914.58251,FENG LAI MANSION,32657.29525,2021Q2,2.99,2.99,2.71,14
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2019Q3,2.95,2.84,2.7,10
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2020Q1,3.07,2.85,2.59,10
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2020Q3,2.91,2.73,2.57,10
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2021Q3,2.94,2.83,2.72,10
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2021Q1,2.95,2.9,2.83,10
JERVOIS ROAD,26870.9379,JERVOIS LODGE,30737.80418,2022Q1,3.36,3.07,2.77,10
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2020Q3,3.42,2.96,2.53,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2019Q3,3.44,3.38,3.01,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2020Q1,3.59,3.26,2.7,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2019Q4,3.59,2.79,2.19,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2020Q2,3.5,3.26,2.54,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2020Q4,3.92,3.38,2.93,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2021Q4,4.09,3.67,2.66,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2022Q2,4.27,3.67,2.72,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2021Q2,3.59,3.26,3.01,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2021Q3,3.42,3.1,2.72,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2021Q1,3.42,3.26,2.51,19
JALAN LOKAM,33502.15467,KENSINGTON SQUARE,36423.53292,2022Q1,3.73,3.42,3.06,19
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2020Q3,2.2,2.14,1.93,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2020Q2,2.16,2.0,1.92,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2019Q3,2.19,2.13,2.02,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2020Q1,2.23,2.16,1.98,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2019Q4,2.2,2.06,1.96,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2020Q4,2.42,2.14,1.94,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2021Q3,2.32,2.15,2.02,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2021Q4,2.54,2.39,2.13,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2022Q2,2.9,2.69,2.48,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2021Q2,2.48,2.06,1.98,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2021Q1,2.42,2.11,1.97,21
HUME AVENUE,20401.44464,PARC PALAIS,37717.26702,2022Q1,2.6,2.48,2.28,21
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2019Q3,5.45,5.14,5.14,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2020Q1,5.98,5.49,5.27,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2019Q4,5.45,5.14,4.92,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2020Q3,5.76,5.14,5.0,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2020Q2,5.34,5.14,4.89,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2020Q4,5.51,5.14,4.97,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2021Q4,5.65,5.45,5.14,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2022Q2,6.87,6.39,5.86,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2021Q2,6.33,5.59,5.05,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2021Q3,5.67,5.34,5.23,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2022Q1,6.26,5.76,5.34,09
DEVONSHIRE ROAD,28458.33083,DEVONSHIRE RESIDENCES,31239.6316,2021Q1,6.03,5.14,4.97,09
BEDOK RIA CRESCENT,41128.01058,STRATFORD COURT,34527.48184,2020Q3,2.33,1.97,1.86,16
BEDOK RIA CRESCENT,41128.01058,STRATFORD COURT,34527.48184,2020Q4,2.46,2.24,2.2,16
BEDOK RIA CRESCENT,41128.01058,STRATFORD COURT,34527.48184,2022Q1,2.7,2.5,2.37,16
MOUNT SINAI DRIVE,22096.93022,THE SIERRA,33382.90658,2019Q3,3.45,2.61,2.45,10
MOUNT SINAI DRIVE,22096.93022,THE SIERRA,33382.90658,2021Q3,3.55,2.81,2.59,10
OLD UPPER THOMSON ROAD,27400.6082,ADANA @ THOMSON,39050.026,2020Q4,3.61,3.57,3.39,20
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2020Q1,4.97,4.04,3.63,10
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2020Q3,4.76,4.23,3.6,10
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2020Q4,4.65,4.28,3.96,10
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2021Q4,4.65,3.94,3.84,10
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2022Q2,4.56,3.92,3.83,10
TAMAN WARNA,24237.80112,HOLLAND RESIDENCES,32558.66002,2021Q3,4.97,4.57,3.89,10
PRINCE CHARLES CRESCENT,26445.1112,THE CREST,30584.87404,2019Q4,4.99,4.68,4.32,03
PRINCE CHARLES CRESCENT,26445.1112,THE CREST,30584.87404,2020Q2,4.8,4.46,4.16,03
PRINCE CHARLES CRESCENT,26445.1112,THE CREST,30584.87404,2020Q3,4.88,4.43,4.22,03
PRINCE CHARLES CRESCENT,26445.1112,THE CREST,30584.87404,2019Q3,4.97,4.76,4.27,03
PRINCE CHARLES CRESCENT,26445.1112,THE CREST,30584.87404,2020Q1,4.91,4.41,4.23,03
